input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave	ost_dockq_wave	ost_dockq_ave_full	ost_dockq_wave_full	ost_tm_score
T1237TS345_4o__T1237TS122_1o	0.73	0.587	0.587	0.609	0.579	0.608	0.607	0.608	0.607	0.953
T1237TS369_1o__T1237TS298_1o	0.883	0.915	0.915	0.83	0.841	0.919	0.887	0.919	0.887	0.995
T1237TS375_3o__T1237TS028_5o	0.774	0.761	0.761	0.747	0.794	0.782	0.715	0.782	0.715	0.973
T1237TS388_2o__T1237TS369_4o	0.743	0.714	0.714	0.679	0.755	0.746	0.688	0.746	0.688	0.978
T1237TS393_1o__T1237TS122_3o	0.765	0.714	0.714	0.705	0.778	0.786	0.718	0.786	0.718	0.978
T1237TS393_1o__T1237TS425_3o	0.867	0.919	0.919	0.854	0.849	0.886	0.843	0.886	0.843	0.996
T1237TS393_3o__T1237TS022_2o	0.729	0.803	0.983	0.84	0.775	0.902	0.889	0.902	0.889	0.952
T1237TS423_1o__T1237TS015_4o	0.729	0.692	0.692	0.774	0.716	0.757	0.67	0.757	0.67	0.976
T1237TS425_3o__T1237TS208_1o	0.765	0.738	0.738	0.708	0.792	0.769	0.726	0.769	0.726	0.975
T1237TS425_4o__T1237TS450_1o	0.402	0.445	0.445	0.352	0.563	0.307	0.299	0.307	0.299	0.835
T1237TS462_3o__T1237TS489_4o	0.858	0.941	0.941	0.86	0.866	0.894	0.863	0.894	0.863	0.995
T1237TS462_6o__T1237TS219_5o	0.034	0.605	0.605	0.527	0.589	0.294	0.279	0.294	0.279	0.443
T1237TS465_4o__T1237TS393_6o	0.748	0.774	0.774	0.754	0.749	0.451	0.431	0.451	0.431	0.669
T1237TS489_5o__T1237TS331_3o	0.934	0.962	0.962	0.921	0.907	0.922	0.905	0.922	0.905	0.996
T1237TS489_5o__T1237TS456_2o	0.677	0.693	0.979	0.787	0.722	0.882	0.849	0.882	0.849	0.948
T1237TS494_2o__T1237TS015_5o	0.765	0.799	0.799	0.708	0.747	0.784	0.764	0.784	0.764	0.981
T1237TS494_3o__T1237TS028_3o	0.667	0.709	0.709	0.634	0.73	0.679	0.639	0.679	0.639	0.962
T1237TS494_5o__T1237TS014_3o	0.697	0.629	0.629	0.649	0.625	0.556	0.543	0.556	0.543	0.935
T1238TS014_1o__T1238TS163_4o	0.844	0.914	0.914	0.946	0.901	0.406	0.406	0.406	0.406	0.657
T1238TS015_6o__T1238TS468_5o	0.831	0.918	0.918	0.891	0.813	0.559	0.559	0.559	0.559	0.643
T1238TS022_5o__T1238TS264_6o	0.914	0.968	0.968	0.941	0.936	0.818	0.818	0.818	0.818	0.978
T1238TS023_1o__T1238TS298_5o	0.121	0.249	0.249	0.189	0.288	0.081	0.081	0.081	0.081	0.457
T1238TS023_4o__T1238TS219_5o	0.747	0.925	0.925	0.867	0.883	0.62	0.62	0.62	0.62	0.882
T1238TS031_1o__T1238TS425_5o	0.772	0.899	0.899	0.883	0.813	0.419	0.419	0.419	0.419	0.611
T1238TS031_5o__T1238TS079_4o	0.914	0.972	0.972	0.925	0.909	0.711	0.711	0.711	0.711	0.638
T1238TS040_3o__T1238TS059_5o	0.72	0.881	0.881	0.795	0.772	0.606	0.606	0.606	0.606	0.636
T1238TS040_3o__T1238TS114_5o	0.599	0.82	0.82	0.633	0.608	0.407	0.407	0.407	0.407	0.778
T1238TS051_1o__T1238TS040_1o	0.728	0.872	0.872	0.867	0.844	0.479	0.479	0.479	0.479	0.604
T1238TS051_1o__T1238TS208_1o	0.837	0.885	0.885	0.91	0.835	0.384	0.384	0.384	0.384	0.654
T1238TS052_1o__T1238TS312_4o	0.746	0.842	0.842	0.792	0.758	0.431	0.431	0.431	0.431	0.63
T1238TS052_4o__T1238TS110_2o	0.558	0.732	0.732	0.626	0.646	0.261	0.261	0.261	0.261	0.556
T1238TS075_5o__T1238TS219_3o	0.837	0.954	0.954	0.927	0.897	0.668	0.668	0.668	0.668	0.639
T1238TS079_3o__T1238TS051_6o	0.834	0.905	0.905	0.871	0.851	0.609	0.609	0.609	0.609	0.638
T1238TS085_1o__T1238TS145_3o	0.896	0.943	0.943	0.931	0.881	0.446	0.446	0.446	0.446	0.635
T1238TS091_5o__T1238TS290_2o	0.871	0.948	0.948	0.909	0.858	0.436	0.436	0.436	0.436	0.663
T1238TS091_5o__T1238TS312_4o	0.769	0.857	0.857	0.842	0.808	0.529	0.529	0.529	0.529	0.64
T1238TS110_1o__T1238TS369_2o	0.465	0.423	0.423	0.565	0.585	0.223	0.223	0.223	0.223	0.474
T1238TS110_3o__T1238TS164_2o	0.449	0.446	0.446	0.575	0.557	0.231	0.231	0.231	0.231	0.358
T1238TS110_5o__T1238TS475_2o	0.596	0.763	0.763	0.675	0.712	0.269	0.269	0.269	0.269	0.561
T1238TS114_1o__T1238TS419_2o	0.606	0.827	0.827	0.705	0.72	0.371	0.371	0.371	0.371	0.583
T1238TS114_2o__T1238TS456_5o	0.673	0.859	0.859	0.717	0.721	0.474	0.474	0.474	0.474	0.784
T1238TS117_3o__T1238TS148_5o	0.337	0.343	0.343	0.278	0.288	0.165	0.165	0.165	0.165	0.474
T1238TS139_1o__T1238TS274_3o	0.815	0.894	0.894	0.857	0.852	0.393	0.393	0.393	0.393	0.64
T1238TS139_5o__T1238TS085_1o	0.842	0.92	0.92	0.928	0.924	0.731	0.731	0.731	0.731	0.928
T1238TS145_2o__T1238TS031_4o	0.789	0.876	0.876	0.835	0.814	0.553	0.553	0.553	0.553	0.638
T1238TS145_4o__T1238TS267_5o	0.865	0.935	0.935	0.93	0.873	0.445	0.445	0.445	0.445	0.673
T1238TS147_1o__T1238TS388_5o	0.458	0.418	0.418	0.54	0.497	0.222	0.222	0.222	0.222	0.382
T1238TS147_2o__T1238TS139_1o	0.491	0.741	0.741	0.623	0.617	0.319	0.319	0.319	0.319	0.654
T1238TS147_4o__T1238TS286_1o	0.56	0.702	0.702	0.62	0.736	0.31	0.31	0.31	0.31	0.637
T1238TS163_4o__T1238TS022_4o	0.834	0.935	0.935	0.916	0.821	0.669	0.669	0.669	0.669	0.923
T1238TS164_3o__T1238TS059_6o	0.824	0.926	0.926	0.901	0.875	0.455	0.455	0.455	0.455	0.674
T1238TS164_5o__T1238TS369_2o	0.858	0.918	0.918	0.915	0.857	0.383	0.383	0.383	0.383	0.658
T1238TS167_3o__T1238TS114_5o	0.238	0.299	0.299	0.228	0.265	0.094	0.094	0.094	0.094	0.381
T1238TS167_3o__T1238TS147_5o	0.217	0.242	0.242	0.177	0.263	0.087	0.087	0.087	0.087	0.473
T1238TS196_4o__T1238TS218_3o	0.802	0.881	0.881	0.847	0.794	0.497	0.497	0.497	0.497	0.635
T1238TS198_5o__T1238TS369_4o	0.836	0.906	0.906	0.903	0.813	0.369	0.369	0.369	0.369	0.657
T1238TS218_1o__T1238TS287_3o	0.824	0.901	0.901	0.895	0.81	0.373	0.373	0.373	0.373	0.68
T1238TS218_5o__T1238TS167_1o	0.413	0.537	0.537	0.367	0.42	0.161	0.161	0.161	0.161	0.524
T1238TS218_5o__T1238TS388_3o	0.894	0.949	0.949	0.921	0.872	0.494	0.494	0.494	0.494	0.681
T1238TS221_2o__T1238TS337_5o	0.679	0.851	0.851	0.717	0.702	0.428	0.428	0.428	0.428	0.651
T1238TS221_5o__T1238TS052_2o	0.793	0.907	0.907	0.906	0.847	0.375	0.375	0.375	0.375	0.641
T1238TS241_1o__T1238TS456_2o	0.843	0.909	0.909	0.929	0.88	0.394	0.394	0.394	0.394	0.675
T1238TS262_1o__T1238TS117_2o	0.575	0.418	0.418	0.464	0.434	0.249	0.249	0.249	0.249	0.615
T1238TS262_5o__T1238TS208_5o	0.893	0.962	0.962	0.943	0.934	0.708	0.708	0.708	0.708	0.924
T1238TS264_4o__T1238TS148_5o	0.819	0.908	0.908	0.889	0.803	0.387	0.387	0.387	0.387	0.643
T1238TS264_4o__T1238TS304_3o	0.894	0.958	0.958	0.947	0.899	0.414	0.414	0.414	0.414	0.643
T1238TS267_2o__T1238TS425_5o	0.902	0.963	0.963	0.947	0.895	0.763	0.763	0.763	0.763	0.626
T1238TS286_1o__T1238TS264_3o	0.823	0.927	0.927	0.869	0.847	0.38	0.38	0.38	0.38	0.619
T1238TS287_1o__T1238TS040_4o	0.828	0.936	0.936	0.916	0.911	0.49	0.49	0.49	0.49	0.669
T1238TS287_1o__T1238TS075_3o	0.954	0.964	0.964	0.946	0.917	0.386	0.386	0.386	0.386	0.641
T1238TS287_5o__T1238TS267_1o	0.806	0.914	0.914	0.919	0.856	0.475	0.475	0.475	0.475	0.633
T1238TS290_2o__T1238TS014_6o	0.912	0.935	0.935	0.916	0.862	0.439	0.439	0.439	0.439	0.641
T1238TS290_4o__T1238TS267_4o	0.915	0.966	0.966	0.941	0.893	0.469	0.469	0.469	0.469	0.657
T1238TS290_5o__T1238TS198_2o	0.025	0.036	0.036	0.0	0.375	0.014	0.014	0.014	0.014	0.432
T1238TS293_3o__T1238TS139_6o	0.816	0.913	0.913	0.877	0.872	0.665	0.665	0.665	0.665	0.64
T1238TS293_5o__T1238TS425_1o	0.993	0.991	0.991	0.983	0.972	0.983	0.983	0.983	0.983	0.997
T1238TS298_1o__T1238TS419_4o	0.225	0.261	0.261	0.218	0.255	0.131	0.131	0.131	0.131	0.387
T1238TS298_2o__T1238TS393_3o	0.125	0.159	0.159	0.124	0.274	0.063	0.063	0.063	0.063	0.583
T1238TS298_3o__T1238TS475_3o	0.231	0.301	0.301	0.308	0.317	0.148	0.148	0.148	0.148	0.431
T1238TS300_2o__T1238TS145_2o	0.581	0.792	0.792	0.641	0.669	0.467	0.467	0.467	0.467	0.752
T1238TS301_1o__T1238TS014_3o	0.872	0.903	0.903	0.908	0.831	0.391	0.391	0.391	0.391	0.654
T1238TS304_5o__T1238TS015_3o	0.833	0.94	0.94	0.908	0.89	0.382	0.382	0.382	0.382	0.645
T1238TS319_2o__T1238TS014_3o	0.881	0.933	0.933	0.906	0.899	0.448	0.448	0.448	0.448	0.635
T1238TS319_4o__T1238TS091_4o	0.816	0.931	0.931	0.908	0.868	0.482	0.482	0.482	0.482	0.624
T1238TS319_5o__T1238TS312_1o	0.856	0.932	0.932	0.847	0.825	0.403	0.403	0.403	0.403	0.634
T1238TS322_3o__T1238TS294_4o	0.878	0.951	0.951	0.926	0.918	0.698	0.698	0.698	0.698	0.638
T1238TS322_4o__T1238TS312_2o	0.853	0.925	0.925	0.93	0.887	0.46	0.46	0.46	0.46	0.639
T1238TS322_5o__T1238TS167_5o	0.215	0.28	0.28	0.212	0.252	0.07	0.07	0.07	0.07	0.364
T1238TS337_1o__T1238TS014_5o	0.705	0.868	0.868	0.713	0.714	0.582	0.582	0.582	0.582	0.849
T1238TS337_3o__T1238TS204_1o	0.678	0.859	0.859	0.731	0.752	0.422	0.422	0.422	0.422	0.579
T1238TS337_4o__T1238TS284_3o	0.676	0.863	0.863	0.719	0.754	0.51	0.51	0.51	0.51	0.79
T1238TS369_3o__T1238TS274_5o	0.861	0.952	0.952	0.907	0.911	0.5	0.5	0.5	0.5	0.637
T1238TS369_4o__T1238TS059_2o	0.862	0.95	0.95	0.923	0.901	0.511	0.511	0.511	0.511	0.633
T1238TS375_3o__T1238TS028_4o	0.573	0.671	0.671	0.629	0.669	0.27	0.27	0.27	0.27	0.497
T1238TS375_4o__T1238TS380_4o	0.752	0.871	0.871	0.867	0.785	0.445	0.445	0.445	0.445	0.63
T1238TS380_2o__T1238TS312_3o	0.761	0.888	0.888	0.877	0.815	0.416	0.416	0.416	0.416	0.629
T1238TS380_5o__T1238TS040_5o	0.747	0.873	0.873	0.812	0.765	0.545	0.545	0.545	0.545	0.642
T1238TS388_4o__T1238TS145_2o	0.243	0.208	0.208	0.247	0.264	0.101	0.101	0.101	0.101	0.366
T1238TS393_2o__T1238TS419_1o	0.901	0.961	0.961	0.936	0.935	0.397	0.397	0.397	0.397	0.641
T1238TS393_5o__T1238TS450_1o	0.233	0.287	0.287	0.201	0.373	0.079	0.079	0.079	0.079	0.382
T1238TS423_1o__T1238TS075_3o	0.867	0.933	0.933	0.912	0.884	0.419	0.419	0.419	0.419	0.635
T1238TS423_3o__T1238TS196_1o	0.817	0.9	0.9	0.842	0.832	0.534	0.534	0.534	0.534	0.64
T1238TS425_2o__T1238TS494_5o	0.895	0.967	0.967	0.954	0.928	0.663	0.663	0.663	0.663	0.636
T1238TS425_4o__T1238TS286_4o	0.448	0.428	0.428	0.394	0.458	0.167	0.167	0.167	0.167	0.47
T1238TS450_3o__T1238TS264_1o	0.268	0.384	0.384	0.295	0.26	0.132	0.132	0.132	0.132	0.37
T1238TS456_1o__T1238TS489_4o	0.914	0.955	0.955	0.928	0.902	0.461	0.461	0.461	0.461	0.654
T1238TS462_2o__T1238TS028_4o	0.61	0.801	0.801	0.682	0.796	0.288	0.288	0.288	0.288	0.66
T1238TS462_2o__T1238TS091_4o	0.539	0.739	0.739	0.662	0.667	0.3	0.3	0.3	0.3	0.541
T1238TS462_4o__T1238TS052_5o	0.612	0.726	0.726	0.662	0.733	0.311	0.311	0.311	0.311	0.585
T1238TS462_6o__T1238TS369_1o	0.902	0.958	0.958	0.942	0.936	0.651	0.651	0.651	0.651	0.634
T1238TS468_1o__T1238TS145_5o	0.89	0.937	0.937	0.91	0.866	0.42	0.42	0.42	0.42	0.663
T1238TS468_1o__T1238TS198_1o	0.93	0.976	0.976	0.915	0.855	0.789	0.789	0.789	0.789	0.646
T1238TS468_5o__T1238TS051_1o	0.826	0.889	0.889	0.87	0.805	0.559	0.559	0.559	0.559	0.624
T1238TS475_4o__T1238TS196_2o	0.754	0.855	0.855	0.838	0.784	0.42	0.42	0.42	0.42	0.617
T1238TS489_1o__T1238TS312_1o	0.856	0.944	0.944	0.863	0.851	0.644	0.644	0.644	0.644	0.619
T1238TS489_2o__T1238TS145_4o	0.891	0.945	0.945	0.929	0.879	0.427	0.427	0.427	0.427	0.66
T1238TS494_3o__T1238TS423_5o	0.753	0.918	0.918	0.846	0.858	0.457	0.457	0.457	0.457	0.638
T1238TS494_4o__T1238TS301_4o	0.885	0.967	0.967	0.929	0.919	0.641	0.641	0.641	0.641	0.615
T1239v1TS014_4o__T1239v1TS022_4o	0.548	0.543	0.543	0.589	0.559	0.282	0.247	0.282	0.247	0.668
T1239v1TS014_5o__T1239v1TS267_3o	0.683	0.627	0.627	0.68	0.562	0.274	0.229	0.274	0.229	0.598
T1239v1TS014_6o__T1239v1TS052_4o	0.516	0.664	0.664	0.639	0.586	0.24	0.197	0.24	0.197	0.701
T1239v1TS015_1o__T1239v1TS163_4o	0.431	0.247	0.247	0.332	0.406	0.273	0.159	0.273	0.159	0.704
T1239v1TS015_4o__T1239v1TS028_3o	0.242	0.191	0.191	0.243	0.298	0.111	0.063	0.111	0.063	0.631
T1239v1TS015_5o__T1239v1TS052_5o	0.401	0.366	0.366	0.443	0.397	0.175	0.121	0.175	0.121	0.64
T1239v1TS022_2o__T1239v1TS110_3o	0.74	0.877	0.877	0.825	0.761	0.507	0.505	0.507	0.505	0.805
T1239v1TS022_5o__T1239v1TS145_5o	0.75	0.629	0.629	0.633	0.55	0.459	0.438	0.459	0.438	0.71
T1239v1TS028_2o__T1239v1TS033_5o	0.688	0.71	0.71	0.662	0.575	0.443	0.436	0.443	0.436	0.546
T1239v1TS028_4o__T1239v1TS319_2o	0.802	0.89	0.89	0.826	0.775	0.646	0.659	0.646	0.659	0.89
T1239v1TS052_1o__T1239v1TS147_2o	0.826	0.702	0.702	0.722	0.65	0.484	0.487	0.484	0.487	0.616
T1239v1TS052_2o__T1239v1TS286_4o	0.676	0.823	0.823	0.67	0.623	0.375	0.331	0.375	0.331	0.706
T1239v1TS052_5o__T1239v1TS015_4o	0.622	0.202	0.202	0.253	0.304	0.401	0.391	0.401	0.391	0.631
T1239v1TS091_1o__T1239v1TS014_5o	0.591	0.578	0.578	0.543	0.596	0.293	0.274	0.293	0.274	0.661
T1239v1TS091_1o__T1239v1TS262_5o	0.744	0.84	0.84	0.789	0.76	0.374	0.338	0.374	0.338	0.687
T1239v1TS091_3o__T1239v1TS022_5o	0.507	0.62	0.621	0.617	0.555	0.277	0.242	0.277	0.242	0.687
T1239v1TS091_4o__T1239v1TS110_4o	0.736	0.706	0.706	0.708	0.609	0.442	0.428	0.442	0.428	0.496
T1239v1TS091_4o__T1239v1TS319_4o	0.715	0.673	0.673	0.631	0.589	0.396	0.391	0.396	0.391	0.5
T1239v1TS091_5o__T1239v1TS167_2o	0.647	0.618	0.618	0.611	0.732	0.364	0.321	0.364	0.321	0.801
T1239v1TS091_5o__T1239v1TS208_4o	0.662	0.78	0.78	0.751	0.602	0.363	0.302	0.363	0.302	0.726
T1239v1TS110_2o__T1239v1TS028_4o	0.944	0.915	0.915	0.91	0.89	0.716	0.724	0.716	0.724	0.871
T1239v1TS110_3o__T1239v1TS489_5o	0.795	0.917	0.917	0.822	0.782	0.744	0.727	0.744	0.727	0.912
T1239v1TS110_4o__T1239v1TS014_6o	0.491	0.509	0.509	0.508	0.512	0.254	0.243	0.254	0.243	0.635
T1239v1TS110_4o__T1239v1TS319_3o	0.508	0.521	0.521	0.54	0.466	0.268	0.256	0.268	0.256	0.613
T1239v1TS145_1o__T1239v1TS022_1o	0.602	0.789	0.789	0.667	0.626	0.294	0.263	0.294	0.263	0.642
T1239v1TS145_1o__T1239v1TS235_2o	0.592	0.817	0.817	0.769	0.699	0.352	0.307	0.352	0.307	0.625
T1239v1TS145_4o__T1239v1TS145_2o	0.677	0.572	0.572	0.678	0.65	0.507	0.381	0.507	0.381	0.84
T1239v1TS163_1o__T1239v1TS028_2o	0.509	0.38	0.38	0.422	0.422	0.15	0.107	0.15	0.107	0.668
T1239v1TS163_4o__T1239v1TS262_1o	0.606	0.381	0.381	0.436	0.524	0.177	0.119	0.177	0.119	0.592
T1239v1TS163_5o__T1239v1TS091_4o	0.527	0.554	0.554	0.579	0.525	0.186	0.171	0.186	0.171	0.507
T1239v1TS167_2o__T1239v1TS489_4o	0.665	0.725	0.725	0.786	0.677	0.262	0.249	0.262	0.249	0.661
T1239v1TS167_3o__T1239v1TS091_4o	0.618	0.644	0.644	0.668	0.614	0.232	0.207	0.232	0.207	0.547
T1239v1TS167_3o__T1239v1TS163_1o	0.512	0.351	0.351	0.434	0.525	0.258	0.234	0.258	0.234	0.719
T1239v1TS198_1o__T1239v1TS304_5o	0.09	0.161	0.489	0.162	0.138	0.171	0.171	0.028	0.036	0.318
T1239v1TS198_2o__T1239v1TS015_3o	0.595	0.279	0.279	0.372	0.46	0.231	0.226	0.231	0.226	0.702
T1239v1TS198_3o__T1239v1TS014_6o	0.528	0.335	0.335	0.469	0.529	0.213	0.161	0.213	0.161	0.808
T1239v1TS198_4o__T1239v1TS286_5o	0.509	0.592	0.592	0.556	0.532	0.342	0.269	0.342	0.269	0.704
T1239v1TS204_2o__T1239v1TS033_3o	0.796	0.698	0.698	0.696	0.623	0.435	0.43	0.435	0.43	0.626
T1239v1TS204_4o__T1239v1TS110_2o	0.641	0.673	0.673	0.729	0.631	0.237	0.235	0.237	0.235	0.753
T1239v1TS204_4o__T1239v1TS456_4o	0.577	0.669	0.669	0.681	0.552	0.234	0.233	0.234	0.233	0.667
T1239v1TS204_4o__T1239v1TS489_3o	0.542	0.665	0.665	0.676	0.54	0.247	0.242	0.247	0.242	0.679
T1239v1TS208_1o__T1239v1TS014_4o	0.722	0.645	0.645	0.618	0.618	0.431	0.422	0.431	0.422	0.588
T1239v1TS208_1o__T1239v1TS456_2o	0.725	0.518	0.518	0.536	0.592	0.496	0.491	0.496	0.491	0.693
T1239v1TS208_2o__T1239v1TS331_3o	0.802	0.695	0.695	0.704	0.645	0.505	0.506	0.505	0.506	0.692
T1239v1TS231_1o__T1239v1TS262_5o	0.657	0.759	0.759	0.758	0.689	0.408	0.347	0.408	0.347	0.655
T1239v1TS235_2o__T1239v1TS015_5o	0.686	0.338	0.338	0.406	0.38	0.372	0.358	0.372	0.358	0.61
T1239v1TS235_4o__T1239v1TS450_4o	0.685	0.654	0.654	0.65	0.638	0.32	0.326	0.32	0.326	0.851
T1239v1TS241_1o__T1239v1TS272_1o	0.029	0.005	0.021	0.009	0.038	0.013	0.013	0.013	0.013	0.358
T1239v1TS241_1o__T1239v1TS345_2o	0.493	0.183	0.484	0.249	0.163	0.212	0.212	0.212	0.212	0.528
T1239v1TS241_5o__T1239v1TS028_4o	0.9	0.245	0.964	0.33	0.244	0.617	0.617	0.617	0.617	0.815
T1239v1TS241_5o__T1239v1TS294_1o	0.83	0.185	0.742	0.248	0.172	0.492	0.492	0.492	0.492	0.634
T1239v1TS262_2o__T1239v1TS022_5o	0.67	0.806	0.806	0.683	0.658	0.434	0.437	0.434	0.437	0.851
T1239v1TS262_2o__T1239v1TS319_4o	0.681	0.671	0.671	0.607	0.553	0.379	0.38	0.379	0.38	0.612
T1239v1TS262_2o__T1239v1TS489_3o	0.893	0.966	0.966	0.863	0.865	0.759	0.76	0.759	0.76	0.933
T1239v1TS267_1o__T1239v1TS481_3o	0.597	0.742	0.742	0.694	0.63	0.29	0.246	0.29	0.246	0.568
T1239v1TS267_2o__T1239v1TS014_4o	0.746	0.592	0.592	0.668	0.572	0.296	0.262	0.296	0.262	0.587
T1239v1TS267_3o__T1239v1TS286_5o	0.463	0.574	0.574	0.51	0.478	0.183	0.17	0.183	0.17	0.597
T1239v1TS267_5o__T1239v1TS286_2o	0.461	0.54	0.54	0.483	0.438	0.253	0.191	0.253	0.191	0.612
T1239v1TS267_5o__T1239v1TS425_2o	0.554	0.699	0.699	0.66	0.604	0.334	0.262	0.334	0.262	0.633
T1239v1TS272_4o__T1239v1TS014_5o	0.41	0.124	0.124	0.233	0.21	0.286	0.177	0.286	0.177	0.358
T1239v1TS272_5o__T1239v1TS028_3o	0.219	0.076	0.076	0.151	0.161	0.17	0.093	0.17	0.093	0.429
T1239v1TS286_2o__T1239v1TS286_5o	0.67	0.564	0.564	0.656	0.582	0.272	0.265	0.272	0.265	0.643
T1239v1TS294_1o__T1239v1TS110_4o	0.638	0.648	0.648	0.697	0.549	0.361	0.32	0.361	0.32	0.713
T1239v1TS294_1o__T1239v1TS235_4o	0.673	0.748	0.748	0.713	0.558	0.408	0.363	0.408	0.363	0.62
T1239v1TS294_1o__T1239v1TS481_3o	0.767	0.836	0.836	0.807	0.78	0.468	0.425	0.468	0.425	0.718
T1239v1TS294_4o__T1239v1TS345_3o	0.772	0.727	0.727	0.757	0.644	0.455	0.456	0.455	0.456	0.61
T1239v1TS294_5o__T1239v1TS167_2o	0.942	0.717	0.717	0.768	0.69	0.589	0.597	0.589	0.597	0.684
T1239v1TS294_5o__T1239v1TS267_1o	0.738	0.701	0.701	0.635	0.606	0.411	0.403	0.411	0.403	0.581
T1239v1TS294_5o__T1239v1TS425_2o	0.907	0.919	0.919	0.857	0.848	0.704	0.71	0.704	0.71	0.869
T1239v1TS304_1o__T1239v1TS456_5o	0.736	0.153	0.847	0.23	0.147	0.411	0.411	0.411	0.411	0.591
T1239v1TS304_2o__T1239v1TS294_4o	0.56	0.194	0.675	0.263	0.191	0.212	0.212	0.212	0.212	0.616
T1239v1TS304_4o__T1239v1TS235_3o	0.498	0.197	0.623	0.273	0.178	0.208	0.208	0.208	0.208	0.638
T1239v1TS304_4o__T1239v1TS272_1o	0.031	0.005	0.024	0.009	0.04	0.013	0.013	0.013	0.013	0.349
T1239v1TS304_5o__T1239v1TS331_5o	0.447	0.153	0.417	0.202	0.126	0.212	0.212	0.212	0.212	0.558
T1239v1TS319_2o__T1239v1TS022_3o	0.704	0.498	0.499	0.539	0.565	0.441	0.441	0.441	0.441	0.673
T1239v1TS319_2o__T1239v1TS163_4o	0.691	0.394	0.394	0.442	0.516	0.386	0.383	0.386	0.383	0.69
T1239v1TS319_4o__T1239v1TS147_5o	0.579	0.568	0.568	0.594	0.554	0.284	0.257	0.284	0.257	0.599
T1239v1TS325_1o__T1239v1TS450_3o	0.934	0.658	0.658	0.747	0.696	0.573	0.58	0.573	0.58	0.693
T1239v1TS331_1o__T1239v1TS231_2o	0.571	0.558	0.558	0.611	0.554	0.278	0.274	0.278	0.274	0.759
T1239v1TS331_2o__T1239v1TS028_2o	0.737	0.818	0.818	0.766	0.753	0.491	0.488	0.491	0.488	0.841
T1239v1TS331_3o__T1239v1TS028_3o	0.498	0.636	0.636	0.644	0.532	0.242	0.213	0.242	0.213	0.644
T1239v1TS331_3o__T1239v1TS331_4o	0.49	0.543	0.543	0.556	0.507	0.236	0.206	0.236	0.206	0.631
T1239v1TS331_5o__T1239v1TS091_4o	0.588	0.677	0.677	0.671	0.625	0.294	0.274	0.294	0.274	0.525
T1239v1TS345_2o__T1239v1TS163_3o	0.616	0.472	0.472	0.511	0.442	0.355	0.312	0.355	0.312	0.592
T1239v1TS369_2o__T1239v1TS489_1o	0.672	0.78	0.78	0.77	0.687	0.277	0.256	0.277	0.256	0.673
T1239v1TS425_2o__T1239v1TS091_3o	0.885	0.709	0.709	0.731	0.693	0.547	0.553	0.547	0.553	0.656
T1239v1TS425_3o__T1239v1TS198_5o	0.616	0.551	0.551	0.583	0.645	0.312	0.292	0.312	0.292	0.7
T1239v1TS450_1o__T1239v1TS167_3o	0.846	0.796	0.796	0.795	0.79	0.627	0.633	0.627	0.633	0.917
T1239v1TS450_3o__T1239v1TS462_1o	0.629	0.589	0.589	0.652	0.713	0.23	0.203	0.23	0.203	0.637
T1239v1TS450_4o__T1239v1TS022_1o	0.524	0.656	0.656	0.63	0.574	0.198	0.184	0.198	0.184	0.558
T1239v1TS456_1o__T1239v1TS241_5o	0.17	0.243	0.932	0.317	0.22	0.51	0.51	0.085	0.111	0.387
T1239v1TS456_5o__T1239v1TS272_4o	0.241	0.189	0.189	0.299	0.263	0.066	0.088	0.066	0.088	0.314
T1239v1TS462_3o__T1239v1TS489_4o	0.768	0.857	0.857	0.787	0.694	0.358	0.319	0.358	0.319	0.656
T1239v1TS462_5o__T1239v1TS147_5o	0.859	0.716	0.716	0.709	0.608	0.447	0.43	0.447	0.43	0.509
T1239v1TS481_2o__T1239v1TS145_1o	0.791	0.806	0.806	0.742	0.672	0.478	0.468	0.478	0.468	0.591
T1239v1TS481_2o__T1239v1TS241_1o	0.165	0.199	0.633	0.264	0.17	0.519	0.519	0.087	0.098	0.333
T1239v1TS481_2o__T1239v1TS319_3o	0.844	0.725	0.725	0.731	0.64	0.579	0.573	0.579	0.573	0.676
T1239v1TS489_1o__T1239v1TS489_4o	0.963	0.98	0.98	0.939	0.925	0.917	0.919	0.917	0.919	0.983
T1239v1TS489_2o__T1239v1TS345_3o	0.743	0.722	0.722	0.71	0.593	0.42	0.414	0.42	0.414	0.602
T1239v1TS489_3o__T1239v1TS319_1o	0.735	0.621	0.621	0.674	0.553	0.452	0.44	0.452	0.44	0.64
T1239v2TS014_1o__T1239v2TS272_4o	0.171	0.126	0.126	0.233	0.2	0.081	0.064	0.081	0.064	0.358
T1239v2TS014_6o__T1239v2TS015_3o	0.467	0.224	0.224	0.271	0.374	0.217	0.19	0.217	0.19	0.69
T1239v2TS015_1o__T1239v2TS286_2o	0.497	0.416	0.416	0.442	0.536	0.218	0.16	0.218	0.16	0.637
T1239v2TS015_1o__T1239v2TS319_2o	0.517	0.454	0.454	0.479	0.472	0.2	0.143	0.2	0.143	0.612
T1239v2TS015_1o__T1239v2TS462_5o	0.532	0.394	0.394	0.434	0.543	0.227	0.175	0.227	0.175	0.639
T1239v2TS015_2o__T1239v2TS147_5o	0.296	0.277	0.277	0.353	0.358	0.127	0.086	0.127	0.086	0.525
